run,session,time_to_first_crash,avg_time_per_test
1,session 1,2.351067,1.9973586998904709
2,session 2,21.008518,1.473867143442623
3,session 3,27.097686,1.2075848939597316
4,session 4,4.713059,1.3327036585185184
5,session 5,23.052237,2.416884943624161
Average,-,15.6445134,1.6856798678871008
